title,author,year
Unmasking and Quantifying Racial Bias of Large Language Models in Medical Report Generation.,"['Yifan Yang 0006', 'Xiaoyu Liu 0003', 'Qiao Jin 0001', 'Furong Huang', 'Zhiyong Lu']",2024
Cognitive bias in LLM reasoning compromises interpretation of clinical oncology notes.,"['Matthew W. Kenaston', 'Umair Ayub', 'Mihir Parmar', 'Muhammad Umair Anjum', 'Syed Arsalan Ahmed Naqvi', 'Priya Kumar 0003', 'Samarth Rawal', 'Aadel A. Chaudhuri', 'Yousef Zakharia', 'Elizabeth I. Heath', 'Tanios S. Bekaii-Saab', 'Cui Tao', 'Eliezer M. Van Allen', 'Ben Zhou', 'YooJung Choi 0001', 'Chitta Baral', 'Irbaz Bin Riaz']",2025
FMBench: Benchmarking Fairness in Multimodal Large Language Models on Medical Tasks.,"['Peiran Wu', 'Che Liu 0002', 'Canyu Chen', 'Jun Li', 'Cosmin I. Bercea', 'Rossella Arcucci']",2024
"Investigating LLMs in Clinical Triage: Promising Capabilities, Persistent Intersectional Biases.","['Joseph Lee', 'Tianqi Shang', 'Jae Young Baik', 'Duy Duong-Tran', 'Shu Yang 0009', 'Lingyao Li', 'Li Shen 0001']",2025
"Introducing L2M3, A Multilingual Medical Large Language Model to Advance Health Equity in Low-Resource Regions.",['Agasthya Gangavarapu'],2024
Disparities in Multilingual LLM-Based Healthcare Q&amp;A.,"['Ipek Baris Schlicht', 'Burcu Sayin', 'Zhixue Zhao', 'Frederik Labonté', 'Cesare Barbera', 'Marco Viviani 0001', 'Paolo Rosso', 'Lucie Flek']",2025
Privacy and Safety Experiences and Concerns of U.S. Women Using Generative AI for Seeking Sexual and Reproductive Health Information.,"['Ina Kaleva', 'Xiao Zhan', 'Ruba Abu-Salma', 'Jose Such']",2026
"BioPulse-QA: A Dynamic Biomedical Question-Answering Benchmark for Evaluating Factuality, Robustness, and Bias in Large Language Models.","['Kriti Bhattarai', 'Vipina Kuttichi Keloth', 'Donald Wright', 'Andrew Loza', 'Yang Ren', 'Hua Xu 0001']",2026
Bias in Large Language Models Across Clinical Applications: A Systematic Review.,"['Thanathip Suenghataiphorn', 'Narisara Tribuddharat', 'Pojsakorn Danpanichkul', 'Narathorn Kulthamrongsri']",2025
FairMedFM: Fairness Benchmarking for Medical Imaging Foundation Models.,"['Ruinan Jin', 'Zikang Xu', 'Yuan Zhong 0003', 'Qiongsong Yao', 'Qi Dou 0001', 'S. Kevin Zhou', 'Xiaoxiao Li']",2024
